dataset,run_id,setting_id,n_models,width,matching,domain_shift,relation_count,relation_count_status,observed_holonomy_order_lcm,group_closure_status,group_exponent_if_exact,primary_source_order,primary_source_order_source,prime,prime_index,p_adic_multiplicity,eligible,remaining_order_before,remaining_order_after,peel_mode,cumulative_primes,quotient_fit_status,quotient_relation_violation_rate,edge_correction_status,representative_correction_status,corrected_cycle_residual_before,corrected_cycle_residual_after,correction_reduces_residual,method,baseline_method,implemented_corrected_merge,validation_accuracy,test_accuracy,baseline_validation_accuracy,baseline_test_accuracy,validation_delta_vs_baseline,test_delta_vs_baseline,wrong_prime_control_validation_accuracy,wrong_prime_control_test_accuracy,shuffled_control_validation_accuracy,shuffled_control_test_accuracy,random_residual_control_validation_accuracy,random_residual_control_test_accuracy,validation_delta_vs_wrong_prime_control,validation_delta_vs_shuffled_control,validation_delta_vs_random_residual_control,capacity_multiplier,inference_multiplier,uses_test_for_selection,selected_by_validation,claim_status,na_reason,architecture,seed,model_source
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,0,-1,0,False,6176520,6176520,baseline,,not_applicable_baseline,,not_applicable_baseline,not_applicable_baseline,0.8046875,0.8046875,False,baseline_c2m3_permutation,baseline_c2m3_permutation,False,0.899,0.8805,0.899,0.8805,0.0,0.0,,,,,,,,,,1.0,1.0,False,False,baseline_reference_real_evaluation,,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,2,0,3,True,6176520,772065,peel_p_only,2,heuristic_primary_residue_completion,0.0,no_residual_reduction,observed_edge_representative_permutation,0.8046875,0.98828125,False,peeled_p_c2m3_permutation,baseline_c2m3_permutation,True,0.884,0.8565,0.899,0.8805,-0.015000000000000013,-0.02399999999999991,0.899,0.8805,0.904,0.8895,0.905,0.8835,-0.015000000000000013,-0.020000000000000018,-0.02100000000000002,1.0,1.0,False,False,correction_did_not_reduce_residual,,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,2,0,3,True,6176520,772065,wrong_prime_peel_control,2,heuristic_primary_residue_completion,0.0,no_residual_reduction,wrong_prime_control,0.8046875,0.8046875,False,wrong_prime_peel_c2m3_control,baseline_c2m3_permutation,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.8805,0.904,0.8895,0.905,0.8835,0.0,-0.0050000000000000044,-0.006000000000000005,1.0,1.0,False,False,control_real_evaluation_not_selectable,,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,2,0,3,True,6176520,772065,shuffled_quotient_peel_control,2,heuristic_primary_residue_completion,0.0,no_residual_reduction,shuffled_control,0.8046875,0.99609375,False,shuffled_quotient_peel_c2m3_control,baseline_c2m3_permutation,True,0.904,0.8895,0.899,0.8805,0.0050000000000000044,0.009000000000000008,0.899,0.8805,0.904,0.8895,0.905,0.8835,0.0050000000000000044,0.0,-0.0010000000000000009,1.0,1.0,False,False,control_real_evaluation_not_selectable,,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,2,0,3,True,6176520,772065,random_same_residual_norm_peel_control,2,heuristic_primary_residue_completion,0.0,no_residual_reduction,random_residual_control,0.8046875,0.91015625,False,random_same_residual_norm_peel_control,baseline_c2m3_permutation,True,0.905,0.8835,0.899,0.8805,0.006000000000000005,0.0030000000000000027,0.899,0.8805,0.904,0.8895,0.905,0.8835,0.006000000000000005,0.0010000000000000009,0.0,1.0,1.0,False,False,control_real_evaluation_not_selectable,,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,2,0,3,True,6176520,772065,cumulative,2,heuristic_primary_residue_completion,0.0,no_residual_reduction,observed_edge_representative_permutation,0.8046875,0.98828125,False,cumulative_peeled_c2m3_permutation,baseline_c2m3_permutation,True,0.884,0.8565,0.899,0.8805,-0.015000000000000013,-0.02399999999999991,0.899,0.8805,0.904,0.8895,0.905,0.8835,-0.015000000000000013,-0.020000000000000018,-0.02100000000000002,1.0,1.0,False,False,correction_did_not_reduce_residual,,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,2,0,3,True,6176520,772065,peel_p_only,2,heuristic_primary_residue_completion,0.0,no_residual_reduction,monomial_correction_adapter_not_available,0.8046875,0.98828125,False,peeled_p_monomial_scale,baseline_monomial_scale,False,,,,,,,,,,,,,,,,1.0,1.0,False,False,monomial_correction_adapter_not_available,monomial_correction_adapter_not_available,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,3,1,3,True,772065,28595,peel_p_only,3,heuristic_primary_residue_completion,0.0,no_residual_reduction,observed_edge_representative_permutation,0.8046875,0.98828125,False,peeled_p_c2m3_permutation,baseline_c2m3_permutation,True,0.884,0.8565,0.899,0.8805,-0.015000000000000013,-0.02399999999999991,0.899,0.8805,0.904,0.8895,0.8955,0.878,-0.015000000000000013,-0.020000000000000018,-0.011499999999999955,1.0,1.0,False,False,correction_did_not_reduce_residual,,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,3,1,3,True,772065,28595,wrong_prime_peel_control,3,heuristic_primary_residue_completion,0.0,no_residual_reduction,wrong_prime_control,0.8046875,0.8046875,False,wrong_prime_peel_c2m3_control,baseline_c2m3_permutation,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.8805,0.904,0.8895,0.8955,0.878,0.0,-0.0050000000000000044,0.0035000000000000586,1.0,1.0,False,False,control_real_evaluation_not_selectable,,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,4,64,monomial_activation,input_noise,4,sufficient,6176520,truncated_max_group_order,,6176520,observed_holonomy_order_lcm,3,1,3,True,772065,28595,shuffled_quotient_peel_control,3,heuristic_primary_residue_completion,0.0,no_residual_reduction,shuffled_control,0.8046875,0.99609375,False,shuffled_quotient_peel_c2m3_control,baseline_c2m3_permutation,True,0.904,0.8895,0.899,0.8805,0.0050000000000000044,0.009000000000000008,0.899,0.8805,0.904,0.8895,0.8955,0.878,0.0050000000000000044,0.0,0.008500000000000063,1.0,1.0,False,False,control_real_evaluation_not_selectable,,mlp,4200,deterministic_retrain_from_fixed_setting_metadata
